Nome,Género,Identificador,Curso,Estado,Instituição,eMail,Tipo,Validade,
Maria Castro Costa e Canto,F,234345456,Introdução à Informática,1,Escola Tecnológica do Século,mcc@ets.com,Estudante,31/12/2021,
Rafael do Pranto Dias  ,M,323345567,Introdução à Informática,1,Escola Tecnológica do Século,rpd@ets.com,Estudante,31/12/2021,
Manuel João Prior Castelo,M,657453432,Introdução à Informática,1,Escola Tecnológica do Século,mjcastelo@ets.com,Estudante,31/12/2021,
António Rodrigues Peixe Areia,M,768564543,Introdução à Informática,1,Escola Tecnológica do Século,arp@ets.com,Professor,31/12/2021,
Ana Rosa Caminho,F,436172546,Introdução à Informática,1,Escola Tecnológica do Século,arc@ets.com,Estudante,31/12/2021,
Rui Costa Cravinho,,890786543,Introdução à Informática,1,Escola Tecnológica do Século,ruicc@ets.com,Estudante,31/12/2021,
Teresa do Manto Ribeiro Cunha e Filho,F,565364272,Introdução à Informática,1,Escola Tecnológica do Século,tfilho@ets.com,Estudante,31/12/2021,
Feliciana Maria Hortense Jardim,F,890987765,Introdução à Informática,1,Escola Tecnológica do Século,fmaria@ets.com,Estudante,31/12/2021,
Tomás Carneiro Costa Campinho,M,565432341,Introdução à Informática,,Escola Tecnológica do Século,tomasc@ets.com,Professor,31/12/2021,
Paula Maria Ferro Rosas,F,787564209,Redes e Serviços,1,Escola Tecnológica do Século,prosas@ets.com,Estudante,31/12/2021,
Ernesto Prazeres,M,768567453,Redes e Serviços,2,Centro Escolar Avançado,ernestop@cea.com,Estudante,31/12/2021,
Mário Gustavo Pinho Castro,M,888777543,Redes e Serviços,2,Centro Escolar Avançado,gpinho@cea.com,Estudante,31/12/2021,
Ofélia Ferreira da Silva,F,111221342,Redes e Serviços,2,Centro Escolar Avançado,ofelias@cea.com,Estudante,31/12/2021,
Ramiro Otávio Leiras,M,555309872,Redes e Serviços,,Centro Escolar Avançado,rotaviol@cea.com,Professor,31/12/2021,
